               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12176,            0.013718,                   0,            0.020987,            0.040404,            0.012806,           0.0029477,             0.12298,            0.010955,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.11433,            0.016149,                   0,            0.053168,             0.11111,            0.026193,           0.0060903,             0.10846,            0.012133,                   0,            0.088297,           0.0012974,           0.0012974
                   2,              0.1052,            0.017515,                   0,             0.11088,             0.15152,            0.070342,            0.021003,             0.09233,            0.013567,                   0,            0.081992,           0.0019921,           0.0019921
                   3,            0.098608,            0.020429,                   0,             0.14496,             0.24242,             0.10297,            0.026359,            0.086074,            0.014098,                   0,            0.075684,            0.002684,            0.002684
                   4,            0.093702,            0.020955,                   0,             0.14593,             0.30303,             0.10084,            0.025304,            0.080193,            0.014463,                   0,            0.069373,           0.0033731,           0.0033731
                   5,            0.085799,            0.020965,                   0,             0.10526,             0.37374,             0.10239,            0.023422,             0.07591,            0.014712,                   0,            0.063059,           0.0040594,           0.0040594
                   6,            0.082699,            0.021572,                   0,              0.2195,             0.47475,              0.1964,            0.056603,            0.070238,            0.014655,                   0,            0.056743,            0.004743,            0.004743
                   7,            0.077093,            0.023328,                   0,             0.23637,             0.28283,             0.17378,            0.035931,            0.070134,            0.014315,                   0,            0.050424,           0.0054238,           0.0054238
                   8,            0.075932,            0.021662,                   0,              0.1086,             0.31313,            0.096103,            0.024644,            0.066014,            0.014561,                   0,            0.044102,           0.0061018,           0.0061018
                   9,             0.07052,            0.023612,                   0,             0.11751,             0.33333,             0.10326,             0.02756,            0.063358,            0.015022,                   0,            0.037777,            0.006777,            0.006777
                  10,            0.068583,            0.021177,                   0,             0.35084,             0.33333,             0.25954,            0.072747,            0.066594,            0.014577,                   0,             0.03145,           0.0074495,           0.0074495
                  11,            0.068588,            0.021077,                   0,             0.15704,             0.31313,             0.15614,             0.04133,            0.069217,            0.016035,                   0,            0.025119,           0.0081192,           0.0081192
                  12,            0.067413,            0.019661,                   0,             0.22478,              0.3339,             0.19973,            0.047574,            0.077427,            0.014309,                   0,            0.018786,           0.0087862,           0.0087862
